panel,x,eq6b,eq12a,eq12b,eq16A,eq16B
10b,0.5859375,2.187778538164945,1.6416015625,1.826279774634131,1.8454485802647174,1.9140400486262876
10b,0.588125,2.1893162010788583,1.643996875,1.8272040013005841,1.8467097055790127,1.9113192564073775
10b,0.5903125,2.19086176900481,1.6463921875,1.8281258247606966,1.8479680196094146,1.9086166191447864
10b,0.5925,2.1924152708574915,1.6487875,1.8290452601342282,1.8492235390057625,1.9059319490912165
10b,0.5946875,2.1939767357584543,1.6511828125,1.829962322390414,1.850476280258247,1.903265061124658
10b,0.596875,2.19554619303761,1.6535781250000001,1.8308770263500092,1.8517262596995223,1.9006157727021868
10b,0.5990625,2.197123672234743,1.6559734375000001,1.8317893866873005,1.8529734935067816,1.8979839038147457
10b,0.6012500000000001,2.1987092031010387,1.6583687500000002,1.8326994179320826,1.8542179977037996,1.8953692769428763
10b,0.6034375,2.2003028156006303,1.6607640625,1.8336071344716003,1.8554597881629384,1.8927717170133835
10b,0.605625,2.201904539912154,1.663159375,1.8345125505524593,1.856698880607123,1.8901910513569087
10b,0.6078125,2.203514406430324,1.6655546874999998,1.8354156802825012,1.857935290611781,1.8876271096663877
10b,0.61,2.205132445767524,1.6679499999999998,1.8363165376326513,1.8591690336067517,1.8850797239563746
10b,0.6121875,2.206758688755409,1.6703453124999998,1.837215136438732,1.8604001248781648,1.8825487285232072
10b,0.614375,2.208393166446528,1.6727406249999999,1.8381114904032456,1.8616285795702854,1.880033959905996
10b,0.6165625,2.2100359101159617,1.6751359375,1.8390056130971315,1.8628544126873317,1.8775352568484172
10b,0.61875,2.2116869512629727,1.67753125,1.8398975179614876,1.8640776390952616,1.875052460261288
10b,0.6209375,2.2133463216126756,1.6799265625,1.8407872183092695,1.8652982735235297,1.8725854131859077
10b,0.623125,2.215014053117724,1.682321875,1.8416747273269571,1.8665163305668184,1.870133960758145
10b,0.6253124999999999,2.216690177960011,1.6847171875,1.8425600580761956,1.8677318246867372,1.867697950173255
10b,0.6275,2.2183747285523894,1.6871125,1.84344322349541,1.8689447702134987,1.8652772306514067
10b,0.6296875,2.220067737540405,1.6895078125,1.8443242364013923,1.870155181347565,1.8628716534039063
10b,0.631875,2.2217692378040543,1.691903125,1.8452031094908625,1.8713630721612686,1.8604810716000986
10b,0.6340625,2.2234792624595516,1.6942984375,1.8460798553420052,1.872568456600408,1.8581053403349301
10b,0.63625,2.2251978448611185,1.6966937500000001,1.8469544864159804,1.8737713484858176,1.8557443165971614
10b,0.6384375,2.2269250186027887,1.6990890625000001,1.8478270150584117,1.8749717615149124,1.8533978592382088
