mass_ratio,gamma,zeta_t,positive_frequency_integral,two_sided_integral
0.853,0.0925,0.5215000000000001,0.006609470833055726,0.013218941666111452
0.853,0.0925,0.538,0.006540431776354653,0.013080863552709305
0.853,0.0925,0.5545,0.006474067959812857,0.012948135919625714
0.853,0.0925,0.5710000000000001,0.006410261596521362,0.012820523193042725
0.853,0.0925,0.5875,0.006348901983126279,0.012697803966252558
0.853,0.0925,0.6040000000000001,0.006289884932096226,0.012579769864192451
0.853,0.0925,0.6205,0.006233112263791796,0.012466224527583593
0.853,0.0925,0.637,0.006178491350229462,0.012356982700458924
0.853,0.0925,0.6535000000000001,0.006125934703787236,0.012251869407574473
0.853,0.0925,0.67,0.006075359605200839,0.012150719210401678
0.853,0.0925,0.6865,0.006026687766073406,0.012053375532146813
0.853,0.0925,0.7030000000000001,0.005979845021848701,0.011959690043697402
0.853,0.0925,0.7195,0.005934761051780202,0.011869522103560404
0.853,0.0925,0.736,0.005891369122920163,0.011782738245840326
0.853,0.0925,0.7525000000000001,0.005849605855557944,0.011699211711115888
0.853,0.0925,0.769,0.005809411007868005,0.01161882201573601
0.853,0.0925,0.7855000000000001,0.005770727277821783,0.011541454555643565
0.853,0.0925,0.802,0.005733500120663913,0.011467000241327826
0.853,0.0925,0.8185,0.0056976775804351764,0.011395355160870353
0.853,0.0925,0.8350000000000001,0.005663210134234569,0.011326420268469138
0.853,0.0925,0.8515,0.005630050548033634,0.011260101096067269
0.853,0.0925,0.8680000000000001,0.005598153743011106,0.011196307486022211
0.853,0.0925,0.8845000000000001,0.005567476671465141,0.011134953342930283
0.853,0.0925,0.901,0.0055379782014863725,0.011075956402972745
0.853,0.0925,0.9175000000000001,0.005509619009637207,0.011019238019274414
0.853,0.0925,0.934,0.005482361480969369,0.010964722961938738
0.853,0.0925,0.9505,0.005456169615785781,0.010912339231571562
0.853,0.0925,0.9670000000000001,0.005431008942588247,0.010862017885176494
0.853,0.0925,0.9835,0.005406846436734119,0.010813692873468238
0.853,0.0925,1.0,0.005383650444347159,0.010767300888694318
0.853,0.109,0.01,0.015557388213045675,0.03111477642609135
0.853,0.109,0.026500000000000003,0.012299421807789954,0.02459884361557991
0.853,0.109,0.043000000000000003,0.011319173003920824,0.022638346007841648
0.853,0.109,0.059500000000000004,0.010738208703357292,0.021476417406714583
0.853,0.109,0.076,0.010306903536521056,0.020613807073042112
0.853,0.109,0.0925,0.009952742681704506,0.019905485363409012
0.853,0.109,0.109,0.009646437179590012,0.019292874359180024
0.853,0.109,0.1255,0.009373593166717117,0.018747186333434234
0.853,0.109,0.14200000000000002,0.009126115655114588,0.018252231310229176
0.853,0.109,0.15850000000000003,0.008898972688943232,0.017797945377886464
0.853,0.109,0.17500000000000002,0.008688784200999954,0.01737756840199991
0.853,0.109,0.1915,0.008493136125745416,0.016986272251490832
0.853,0.109,0.20800000000000002,0.008310217733314251,0.016620435466628503
0.853,0.109,0.22450000000000003,0.008138616381609688,0.016277232763219376
0.853,0.109,0.24100000000000002,0.007977194604774253,0.015954389209548506
0.853,0.109,0.2575,0.007825012882547461,0.015650025765094923
0.853,0.109,0.274,0.0076812790490776665,0.015362558098155333
0.853,0.109,0.29050000000000004,0.007545313918372894,0.015090627836745788
0.853,0.109,0.30700000000000005,0.007416527159437005,0.01483305431887401
0.853,0.109,0.3235,0.007294399868977275,0.01458879973795455
0.853,0.109,0.34,0.007178471653037932,0.014356943306075865
0.853,0.109,0.35650000000000004,0.007068330826944452,0.014136661653888905
0.853,0.109,0.373,0.006963606825262809,0.013927213650525619
0.853,0.109,0.3895,0.006863964213396102,0.013727928426792204
0.853,0.109,0.406,0.006769097883888422,0.013538195767776843
0.853,0.109,0.42250000000000004,0.006678729145626665,0.01335745829125333
